Title,Allergens,
Guilty Pleasure,"Dairy, Artificial dye, Corn, Eggs, Wheat, Peanuts, Soy",
Neapolitan (pea),,
Swanky Chocolate,Dairy,
It&#8217;s Giving Purple Sorbet,Corn,
Lime in the Coconut (coco),,
Matcha Made in Heaven II (pea),,
Apple Spiced Granola (PEA),Tree nuts,
High Tea,"Dairy, Wheat",
Cin-Bun (pea),,
Lemon Blueberry Streusel (pea),,
Raspberry Rose Truffle,"Dairy, Soy",
Paloma Sorbet,Corn,
Chocolate Covered Strawberry (coco),"Coconut, Soy, Tree nuts",
Lemon Meringue Pie (coco),"Coconut, Tree nuts",
ChoCoChai (coco),,
DBC2: Coconut Boogaloo (coco),"Coconut, Soy, Tree nuts",
Brownie Batter Up (pea),"Pea protein, Coconut, Soy, Tree nuts",
Cookies and Dreams (coco),"Coconut, Soy, Tree nuts",
Matcha (pea),"Pea protein, Tree nuts",
Mochonut (coco),"Coconut, Soy, Tree nuts",
Blue Moon (pea),"Pea protein, Tree nuts",
Brown No Cow (oat),,
Ginger (pea),"Pea protein, Tree nuts",
Bananatella,Dairy,
Orange,Dairy,
Sugar Plumb,Dairy,
Mango Chamoy,"Dairy, Artificial dye, Corn",
zz__flavor test___,,
Minter Wonderland,"Dairy, Corn, Eggs, Wheat, Soy",
OMG Sorbet,Corn,
Red Berry Sorbet,Corn,
Caramel Brownie (oat),,
Tomato Sorbet,,
Soursop Sorbet,Corn,
S’mores (oat),"Coconut, Soy, Tree nuts",
Chocolate II (pea),"Pea protein, Soy, Tree nuts",
Raspberry Blondie (oat),"Coconut, Soy, Tree nuts",
Strawberry Hibiscus Sorbet,Corn,
Brookie (pea),,
Vanilla Bean (coco),"Coconut, Tree nuts",
Cookie Monster (oat),"Coconut, Soy, Tree nuts",
Blackberry Pear Crumble (pea),"Pea protein, Coconut, Tree nuts",
Roasted Pluot Sorbet,,
Mint Matcha Chip (coco),Coconut,
Tuxedo (pea),"Coconut, Soy, Tree nuts",
Lemon Poppyseed (coco),"Coconut, Tree nuts",
Coffee Oreo (pea),"Pea protein, Soy, Tree nuts",
Salted Caramel Swirl (coco),Coconut,
Spiced Chocolate Orange (coco),"Coconut, Soy, Tree nuts",
Pumpkin Sage maple (coco),"Coconut, Tree nuts",
Sunbutter Date Bark (coco),"Coconut, Tree nuts",
Sweet Potato Pie (coco),"Coconut, Tree nuts",
Golden Milk (coco),"Coconut, Tree nuts",
Strawberry (coco),"Coconut, Tree nuts",
Mmminty (GF),,
Chocolate,,
Kristen’s Lunch,"Dairy, Wheat, Peanuts, Soy",
Pear hazelnut,"Dairy, Tree nuts",
Strawberry Matcha,,
Pistachio Rose Bark,"Dairy, Soy, Tree nuts",
Cherry Goat Cheese,"Dairy, Wheat",
Honey Lavender,Dairy,
Vanilla Cardamom Mollases,Dairy,
Vanilla,Dairy,
Golden Milk,Dairy,
Yass Cream Slay,Dairy,
White Chocolate Peppermint Bark,"Dairy, Soy",
Unicorn,"Dairy, Corn, Eggs, Soy",
Tastes Great Together,"Dairy, Wheat, Peanuts, Soy, Tree nuts",
"Tall, Dark, and Spicy","Dairy, Soy",
Sweet Potato Pie,"Dairy, Wheat, Soy",
Sugar Baby,"Dairy, Eggs, Wheat, Soy, Tree nuts",
Strawberry Balsamic,Dairy,
Spumoni,"Dairy, Soy, Tree nuts",
Santa’s little helper,"Dairy, Artificial dye, Eggs, Wheat, Soy",
Rugelach,"Dairy, Wheat, Tree nuts",
Rhubarb Crisp,"Dairy, Wheat",
Raspberry,Dairy,
Pumpkin tiramisu,"Dairy, Eggs, Wheat",
Pumpkin Pie,Dairy,
Pumpkin CheeseCake,"Dairy, Eggs, Wheat, Soy",
Pot o gold,"Dairy, Wheat, Soy",
Pistachio,"Dairy, Tree nuts",
Pink Velvet Cake,"Dairy, Eggs, Wheat, Soy",
Peppermint Bark,"Dairy, Soy",
Passionfruit Cashew Nut Brittle,"Dairy, Tree nuts",
Orange Cranberry Swirl,Dairy,
Orange Blossom,"Dairy, Eggs",
MMMinty,"Dairy, Eggs, Wheat, Soy",
Miso Maple,"Dairy, Soy",
Milk Chocolate,Dairy,
Matcha Made In Heaven,"Dairy, Wheat, Soy",
Matcha Blackberry Swirl,Dairy,
Mandarin Goat Cheese,Dairy,
Malty and Salty,"Dairy, Wheat, Soy",
Malted Coffee Toffee,"Dairy, Wheat, Soy, Tree nuts",
Licorice,Dairy,
Lemon meringue pie,"Dairy, Eggs, Wheat, Soy",
Jam Tart,"Dairy, Eggs, Wheat",
Hot Cross Buns,"Dairy, Wheat",
Hot Cocoa,"Dairy, Soy",
Honey Lemon Ricotta,Dairy,
Granola Parfait,"Dairy, Wheat",
Gingerbread Cake,"Dairy, Eggs, Wheat, Soy",
Farmers Market Strawberry,Dairy,
Everything But The&#8230;,"Dairy, Coconut, Wheat, Soy, Tree nuts",
Espresso Bean,"Dairy, Soy",
Eggnog,"Dairy, Eggs",
Donut Try This At Home,"Dairy, Corn, Eggs, Wheat, Soy",
Dirty Soda,Dairy,
Death By Chocolate,"Dairy, Eggs, Wheat, Soy",
Creme Fraiche,Dairy,
Cotton Candy,Dairy,
Cookies and Screams,"Dairy, Artificial dye, Eggs, Wheat, Soy",
Cookie Monster,"Dairy, Eggs, Wheat, Soy",
Cookie buttah,"Dairy, Corn, Eggs, Wheat, Soy",
Coffee Oreo,"Dairy, Wheat, Soy",
Coffee,"Dairy, Soy",
Coffee Cinnamon Cardamom,"Dairy, Soy",
Coffee Brownie,"Dairy, Eggs, Wheat, Soy",
Cinnamon Roll,"Dairy, Wheat",
Chocolate Mini Egg,"Dairy, Soy",
Chocolate Malt,"Dairy, Eggs, Wheat, Soy",
Chestnut,Dairy,
Cherry,Dairy,
Cherry Chocolate Flake,"Dairy, Soy",
Carrot Cake,"Dairy, Tree nuts",
Caramel cookie crunch,"Dairy, Wheat, Soy",
Caramel Apple Pie,"Dairy, Artificial dye, Corn, Wheat, Soy",
Cantaloupe,Dairy,
Candy Crushing It,"Dairy, Artificial dye, Corn, Peanuts, Soy, Tree nuts",
Candy Cane,Dairy,
Butterscotch,"Dairy, Artificial dye, Soy",
Butter Pecan Baklava,"Dairy, Wheat, Tree nuts",
Bumpy Road,"Dairy, Peanuts, Soy",
Blueberry Cheesecake,"Dairy, Eggs, Wheat, Soy",
Blackberry Flake,"Dairy, Soy",
Black Forest Cheesecake,"Dairy, Eggs, Wheat, Soy",
Black Currant,Dairy,
Birthday Cake,"Dairy, Eggs, Wheat",
Basil,Dairy,
Bananamon,Dairy,
Banana Peanut Butter Party,"Dairy, Wheat, Peanuts, Soy",
Banana Nut Muffin,"Dairy, Eggs, Wheat, Tree nuts",
Banana Fluffernutter,"Dairy, Corn, Eggs, Peanuts, Soy",
