ID,Name,Yield Count,Yield Units,Yield Units Descriptor,Cost,Cost Per Unit,Categories,Allergens,Label Certifications,Ingredient List,Target Margin,Minimum Sell Price (calculated based on target margin),Sell Quantity,Sell Price,Sell Price Per Unit,Sell Margin,Food Cost Percentage
237268,Bumpy Road Ice Cream,1.0,each,tubs,4863.361,4863.361,Dairy Ice Cream,"Milk, Peanuts, Soy","","chocolate paste (water, white sugar, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.')), peanut butter cups, mini, honey roasted peanuts, mini marshmallows, mexican vanilla 2x, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
275113,Butter Pecan Baklava Icecream,2.25,each,Tubs,1041.455,462.869,Dairy Ice Cream,"Gluten, Milk, Tree nuts","","phyllo dough, pecans, butter pecan flavor, cinnamon (powdered), cardamom (powdered), annatto extract, wildflower honey, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
231111,Buttercream Frosting,1.0,each,servings,6.997,6.997,"",Milk,"","powdered sugar, butter, light corn syrup, buttermilk, mexican vanilla 2x, salt",,,1,,,,
230213,Buttermilk Waffles,1.0,each,Batch,5.693,5.693,"","Eggs, Gluten, Milk","","buttermilk, flour, large eggs, butter, white sugar, baking powder, baking vanilla, baking soda, salt",,,1,,,,
284269,Butterscotch Icecream,2.0,each,tubs,132.264,66.132,Dairy Ice Cream,"Artificial dye, Milk, Soy","","sugar, palm kernel oil, milk, nonfat milk, 2% or less of hydrogenated palm oil, soy lecithin, butter, caramel color, natural flavor, artificial flavor, sunflower lecithin, paprika oleoresin (for color), acetic acid., turmeric gmf, annatto extract, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum), butterscotch flavor (gmf)",,,1,,,,
275100,Candy Cane Icecream,1.5,each,"",610.952,407.302,Dairy Ice Cream,Milk,"","candy cane pieces, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum), peppermint oil",,,1,,,,
284274,Candy Crushing It Icecream,2.0,each,tubs,48.214,24.107,Dairy Ice Cream,"Artificial dye, Corn, Milk, Peanuts, Soy, Tree nuts","","milk chocolate (sugar, chocolate, skim milk, cocoa butter, lactose, milkfat, peanuts, soy lecithin, salt, natural flavor), sugar, cornstarch; less than 1% of: palm oil, corn syrup, dextrin, artifical colors , milk chocolate (sugar, cocoa butter, chocolate, skim milk, milk fat, lactose, lecithin, pgpr)
peanuts
sugar
dextrose
salt
tbhq & citric acid (to maintain freshness), corn syrup
coconut
sugar
chocolate
cocoa
peppermint oil* (artificial flavor) (organic cocoa**, palm kernel oil, coconut oil, palm oil, cinnamon*, annatto extract)
contains 2% or less of:
salt
soy lecithin
pgpr
hydrolyzed milk protein
sodium metabisulfite (to maintain freshness)
vanillin (artificial flavor), sugar, wheat flour (contains calcium, iron, thiamin and niacin), milk powders (skimmed and whole), cocoa mass, cocoa butter, vegetable fats (palm, palm kernel, shea/ illipe/ mango kernel/ kokum gurgi/ sal), lactose and proteins from whey (from milk), whey powder (from milk), emulsifiers (sunflower lecithin, soya lecithin), yeast raising agent (sodium bicarbonate), natural vanilla flavourings, salt butterfat (from milk) natural flavourings., heath bar pieces, sugar, chocolate, cocoa butter, nonfat milk, milkfat, lactose, soy lecithin, natural flavor, rice flour, sugar, barley malt, salt. 
, butterfinger pieces: corn syrup, sugar, ground roasted peanuts, palm oil, soy lecithin, non fat milk, peanut flour, less than 2% cocoa, salt, natural flavor, annatto coloring, indonesian vanilla extract 2x, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
284278,Cantaloupe Icecream,2.0,each,tubs,49.431,24.715,Dairy Ice Cream,Milk,"","cantaloupe, white sugar, tahitian vanilla, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum), cantaloupe flavor (gmf)",,,1,,,,
284280,Caramel Apple Pie Icecream,3.5,each,tubs,1415.119,404.32,Dairy Ice Cream,"Artificial dye, Corn, Gluten, Milk, Soy","","apple puree, torani caramel sauce: corn syrup, sugar, invert sugar, heavy cream, water, butter (cream, salt), nonfat milk, less than 1% of lecithin, salt, caramel color, sodium bicarbonate, natural flavors. contains milk., shortbread (flour, butter, powdered sugar, salt, baking vanilla), apple compote (white sugar, light brown sugar, cinnamon (powdered)), white sugar, madagascar vanilla 2x (bourbon vanilla), cinnamon (powdered), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
275077,Caramel cookie crunch icecream,2.0,each,Tubs,8781.202,4390.601,Dairy Ice Cream,"Gluten, Milk, Soy, Wheat","","edible cinnamon sugar cookie dough (light brown sugar, heat treated flour, butter, milk, whole, baking vanilla, cinnamon (powdered), salt), edible sugar cookie dough (heat treated flour, butter, white sugar, sanding sugar, cream of tartar, cornstarch, baking vanilla, salt, baking soda, baking powder), white choco covered pretzels (white chocolate, pretzels), light brown sugar, gmf caramel flavor, sea salt, gmf caramel color, annatto extract, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
240206,Caramelized White Chocolate,1.0,each,Serving,31.356,31.356,"","Milk, Soy","",white chocolate,,,1,,,,
283952,Carrot Cake Icecream,1.5,each,Tubs,71.093,47.395,Dairy Ice Cream,"Milk, Tree nuts","","cream cheese frosting (powdered sugar, cream cheese, butter, light corn syrup, mexican vanilla 2x, sea salt), roasted maple walnuts (walnuts, maple syrup, salt), roasted carrots (carrots, chopped and peeled, butter, light brown sugar, cinnamon (powdered)), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
239649,Cashew brittle,620.0,g,Grams (chopped),4.96,0.008,"","Milk, Tree nuts","","cashew, white sugar, light corn syrup, butter, water, baking soda, sea salt",,,1,,,,
230071,Cheesecake,1.0,g,"",15.344,15.344,"","Eggs, Milk","","cream cheese, white sugar, large eggs, milk, whole, sourcream, cornstarch, baking vanilla, salt",,,1,,,,
250494,Cherry Chocolate Flake IceCream,1.0,each,tubs,417.96,417.96,Dairy Ice Cream,"Milk, Soy","","creme fraiche (pasteurized cultured cream), white sugar, chocolate flake (chocolate callets (unsweetened chocolate; sugar; cocoa butter; lecithin (soy); natural vanilla flavor; milk), canola oil), madagascar vanilla 2x (bourbon vanilla), amarena cherries, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
284283,Cherry Goat Cheese,1.5,each,tubs,114730.42,76486.947,"","Gluten, Milk","","cherry swirl (amarena cherries, tart dried cherries), goat cheese, tart dried cherries, thyme piecrust (flour, butter, water, white sugar, thyme, salt), white sugar, madagascar vanilla 2x (bourbon vanilla), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
230431,Cherry Icecream,1.0,each,Tubs,45.148,45.148,Dairy Ice Cream,Milk,"","cherry puree, amarena cherries, white sugar, tahitian vanilla, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
230844,Cherry Swirl,1.0,each,servings,68.687,68.687,"","","","amarena cherries, tart dried cherries",,,1,,,,
286631,Choco-Covered Strawberry Icecream (COCO),1.5,each,tubs,146212.145,97474.763,Coconut Vegan Ice Cream,"Coconut*, Soy, Tree nuts","","strawberry paste, vegan fudge (plant-based oil blend from canola, coconut and sunflower oils, water, sunflower lecithin, faba bean protein, citric acid, natural flavor, glucose, beta carotene (color)., soy milk, light corn syrup, vegan chocolate chips, maple syrup, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), baking vanilla, salt), strawberry puree, sugar, invert sugar, water, strawberry concentrate, modified starch, acid, gelling agent(sodium alginate) , natural flavoring, carrot concentrate, preservative (potassium sorbate), firming agent (calcium chloride), elderberry concentrate, black currant concentrate, white sugar, coconut cream (coconut extract, water), cane sugar, water, tapioca syrup solids, 2% or less of locust bean gum, sea salt.
",,,1,,,,
242224,Chocolate Buttercream,1.0,each,servings,4.994,4.994,"","Milk, Soy","","powdered sugar, butter, heavy cream, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), baking vanilla, salt",,,1,,,,
230062,Chocolate cake,1.0,g,"",10.615,10.615,"","Eggs, Gluten, Milk, Soy","","white sugar, flour, buttermilk, water, large eggs, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), baking vanilla, baking powder, salt, baking soda, espresso powder, canola oil",,,1,,,,
230065,Chocolate chip cookies,3350.0,g,Chopped,21.942,0.00655,"","Eggs, Gluten, Milk, Soy","","flour, chocolate chips-large (sugar, unsweetened chocolate, cocoa butter, whole milk powder, soy
lecithin, vanilla extract), butter, dark brown sugar, white sugar, large eggs, baking soda, baking vanilla, salt",,,1,,,,
230246,Chocolate cookies,1.0,each,Batch,3.184,3.184,"","Eggs, Gluten, Milk, Soy","","flour, butter, white sugar, dark brown sugar, large eggs, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), milk, whole, baking soda, baking vanilla, salt",,,1,,,,
240198,Chocolate Flake,1.0,g,"",0.311,0.311,"",Soy,"","chocolate callets (unsweetened chocolate; sugar; cocoa butter; lecithin (soy); natural vanilla flavor; milk), canola oil",,,1,,,,
240215,Chocolate Ganache,1.0,each,Serving,2.354,2.354,"",Milk,"","heavy cream, light corn syrup, butter, baking vanilla",,,1,,,,
276619,Chocolate Malt Icecream,2.0,each,Tubs,5883.569,2941.784,Dairy Ice Cream,"Eggs, Gluten, Milk, Soy, Wheat","","chocolate paste (water, white sugar, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.')), whoppers, malted milk powder, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
275096,Chocolate Mini egg Icecream,1.5,each,Tubs,11503.936,7669.291,Dairy Ice Cream,"Milk, Soy","","chocolate paste (water, white sugar, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.')), mini cadbury eggs, mexican vanilla 2x, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
230257,Chocolate Paste,1.0,g,"",6.389,6.389,"",Soy,"","water, white sugar, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.')",,,1,,,,
231122,Chocolate Truffles,1.0,each,servings,10.601,10.601,"","Milk, Soy","","chocolate callets (unsweetened chocolate; sugar; cocoa butter; lecithin (soy); natural vanilla flavor; milk), heavy cream, light corn syrup, trablit coffee extract",,,1,,,,
243768,Cinnamon Crisp,1.0,each,servings,66.527,66.527,"","Gluten, Milk","","white sugar, flour, butter, light brown sugar, baking vanilla, sea salt, cinnamon (powdered)",,,1,,,,
268269,Cinnamon Roll Icecream,2.5,each,Tubs,62.118,24.847,Dairy Ice Cream,"Gluten, Milk, Wheat","","cream cheese frosting (powdered sugar, cream cheese, butter, light corn syrup, mexican vanilla 2x, sea salt), edible cinnamon sugar cookie dough (light brown sugar, heat treated flour, butter, milk, whole, baking vanilla, cinnamon (powdered), salt), madagascar vanilla 2x (bourbon vanilla), cinnamon (powdered), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
230255,Cinnamon swirl pie crust cookies,1.0,each,serving,3.431,3.431,"","Gluten, Milk","","pie crust (water, butter, flour, salt, white sugar), light brown sugar, white sugar, butter, cinnamon (powdered)",,,1,,,,
268270,Cinnamon syrup swirl,1.0,g,"",0,0,"","","","",,,1,,,,
231104,Citric acid solution,1.0,g,,0.0106,0.0106,"","","","citric acid powder, water",,,1,,,,
240213,Coconut macaroon,1.0,g,"",398.631,398.631,"","Eggs, Milk","","shredded coconut, condensed milk, large eggs, baking vanilla, salt",,,1,,,,
230762,Coffee Brownie Ice Cream,2.0,each,Tubs,57.26,28.63,Dairy Ice Cream,"Eggs, Gluten, Milk, Soy","","brownies (white sugar, butter, large eggs, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), flour, baking vanilla, sea salt), espresso powder, madagascar vanilla 2x (bourbon vanilla), cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
228818,Coffee Cinnamon Cardamom Ice Cream,1.0,each,tubs,47.608,47.608,Dairy Ice Cream,"Milk, Soy","","espresso powder, madagascar vanilla 2x (bourbon vanilla), cinnamon (powdered), cardamom (powdered), cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
275078,Coffee Icecream (for cakes),1.5,each,Tubs,46.079,30.72,Dairy Ice Cream,"Milk, Soy","","espresso powder, madagascar vanilla 2x (bourbon vanilla), cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
230761,Coffee Oreo IceCream,2.0,each,Tubs,64.489,32.244,Dairy Ice Cream,"Gluten, Milk, Soy","","oreo pieces (unbleached flour, reduced iron, thaimine mononitrate, riboflavin, sugar, palm oil, soy bean or canola oil, invert sugar, leavining (baking soda), soy lecithin, salt, chocolate, natural flavor, espresso powder, madagascar vanilla 2x (bourbon vanilla), cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
230516,Coffee Syrup,1375.0,g,"",3.984,0.0029,"","","","water, white sugar, trablit coffee extract",,,,,,,
241286,Cookie buttah Icecream,1.0,each,Tub,567.063,567.063,Dairy Ice Cream,"Corn, Eggs, Gluten, Milk, Soy, Wheat","","cold brew concentrate, biscoff cookie butter (wheat flour, sugar, vegetable oils [contains one or more of soybean oil, sunflower oil, canola oil, palm oil], brown sugar syrup, sodium bicarbonate [leavening], soy flour, salt, cinnamon], canola oil, sugar, soy lecithin, citric acid.), jett puff creme (corn syrup, sugar, water, dried egg whites, cream of tartar, xanthan gum, artificial and natural flavor), biscoff cookies: wheat flour, sugar, vegetable oils (contains one or more of soybean oil, sunflower oil, canola oil, palm oil), brown sugar syrup, sodium bicarbonate (leavening), soy flour, salt, cinnamon., white sugar, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
231309,Cookie Monster Icecream,2.25,each,Tubs,65.328,29.035,Dairy Ice Cream,"Eggs, Gluten, Milk, Soy, Wheat","","chocolate chip cookies (flour, chocolate chips-large (sugar, unsweetened chocolate, cocoa butter, whole milk powder, soy
lecithin, vanilla extract), butter, dark brown sugar, white sugar, large eggs, baking soda, baking vanilla, salt), edible chocolate chip dough (mini chocolate chips (sugar; unsweetened chocolate; cocoa butter; soy lecithin; natural vanilla extract), butter, light brown sugar, heat treated flour, baking vanilla, sea salt), oreo pieces (unbleached flour, reduced iron, thaimine mononitrate, riboflavin, sugar, palm oil, soy bean or canola oil, invert sugar, leavining (baking soda), soy lecithin, salt, chocolate, natural flavor, madagascar vanilla 2x (bourbon vanilla), spirulina powder, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
262450,Cookies and Cream Cookies,2.0,each,batches,11.489,5.745,"","Eggs, Gluten, Milk, Soy","","flour, white chocolate, butter, cream cheese, oreo pieces (unbleached flour, reduced iron, thaimine mononitrate, riboflavin, sugar, palm oil, soy bean or canola oil, invert sugar, leavining (baking soda), soy lecithin, salt, chocolate, natural flavor, white sugar, dark brown sugar, large eggs, baking vanilla, baking soda, cornstarch, salt",,,1,,,,
275114,Cookies and Screams Icecream,2.5,each,Tubs,305.324,122.13,Dairy Ice Cream,"Artificial dye, Eggs, Gluten, Milk, Soy, Wheat","","sugar cookies (flour, white sugar, butter, large eggs, rainbow sprinkles, light brown sugar, baking soda, baking vanilla, salt), edible sugar cookie dough (heat treated flour, butter, white sugar, sanding sugar, cream of tartar, cornstarch, baking vanilla, salt, baking soda, baking powder), oreo pieces (unbleached flour, reduced iron, thaimine mononitrate, riboflavin, sugar, palm oil, soy bean or canola oil, invert sugar, leavining (baking soda), soy lecithin, salt, chocolate, natural flavor, orange sprinkles, madagascar vanilla 2x (bourbon vanilla), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
286411,Corn Cookies,1.0,g,"",194.027,194.027,"","Corn, Eggs, Gluten, Milk","","white sugar, butter, flour, large eggs, corn meal, masa harina, baking powder, salt, baking soda",,,1,,,,
229088,Cotton Candy Icecream,1.66,each,tubs,45.316,27.299,Dairy Ice Cream,Milk,"","cotton candy flavor, pink pitaya powder, beet powder, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
283961,Cranberry Pomegranate Sorbet,1.5,each,tubs,13.674,9.116,Sorbet,"","","water, cranberry puree, white sugar, pomegranate puree, glucose powder, pomegranate concentrate, ice bracer, orange oil",,,1,,,,
230501,Cranberry Swirl,1.0,each,servings,2.562,2.562,"","","","cranberries, white sugar, red wine, salt, cinnamon (powdered)",,,1,,,,
231109,Cream Cheese Frosting,2500.0,g,"",25.088,0.01,"",Milk,"","powdered sugar, cream cheese, butter, light corn syrup, mexican vanilla 2x, sea salt",,,1,,,,
250495,Creme Fraiche Ice Cream,1.75,each,tubs,45.896,26.227,Dairy Ice Cream,Milk,"","creme fraiche (pasteurized cultured cream), white sugar, madagascar vanilla 2x (bourbon vanilla), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
286287,Dad Bod Icecream,2.0,each,tubs,20387.598,10193.799,Dairy Ice Cream,"Gluten, Milk, Soy, Wheat","","chocolate paste (water, white sugar, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.')), white choco covered pretzels (white chocolate, pretzels), dark chocolate covered potato chips (potato chips, chocolate callets (unsweetened chocolate; sugar; cocoa butter; lecithin (soy); natural vanilla flavor; milk), canola oil), mexican vanilla 2x, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum), bourbon whiskey flavor (gmf)",,,1,,,,
